a	a1_T1
bớ	b o3_T3
bới	b oi3_T3
bớt	b o3_T3 t
bờ	b o3_T2
bời	b oi3_T2
bởi	b oi3_T4
bởn	b o3_T4 n
bỡ	b o3_T5
bợ	b o3_T6
bợm	b o3_T6 m
bợn	b o3_T6 n
bụa	b ua_T6
bụi	b ui_T6
bụm	b u1_T6 m
bụng	b u1_T6 ng
bụt	b u1_T6 t
bủa	b ua_T4
bủn	b u1_T4 n
bức	b u2_T3 k
bứt	b u2_T3 t
bừa	b ua2_T2
bừng	b u2_T2 ng
bửa	b ua2_T4
bửu	b uu2_T4
bữa	b ua2_T5
bực	b u2_T6 k
bựt	b u2_T6 t
ca	k a1_T1
cai	k ai_T1
cam	k a1_T1 m
can	k a1_T1 n
cang	k a1_T1 ng
canh	k a1_T1 nh
cao	k ao_T1
cay	k ay_T1
cha	ch a1_T1
chai	ch ai_T1
cham	ch a1_T1 m
chan	ch a1_T1 n
chay	ch ay_T1
che	ch e1_T1
chem	ch e1_T1 m
chen	ch e1_T1 n
chi	ch i_T1
chia	ch i_T1 a1_T1
chim	ch i_T1 m
chinh	ch i_T1 nh
chiêm	ch ie2_T1 m
chiên	ch ie2_T1 n
chiêu	ch ieu_T1
chiếc	ch ie2_T3 k
chiếm	ch ie2_T3 m
chiến	ch ie2_T3 n
chiếng	ch ie2_T3 ng
chiếu	ch ieu_T3
chiều	ch ieu_T2
cho	ch o1_T1
chong	ch o1_T1 ng
choàng	ch oa_T2 ng
choán	ch oa_T3 n
choáng	ch oa_T3 ng
christ	ch r i_T3 s t
chu	ch u1_T1
chua	ch ua_T1
chui	ch ui_T1
chun	ch u1_T1 n
chung	ch u1_T1 ng
chuyên	ch uy_T1 e2_T1 n
chuyến	ch uy_T1 e2_T3 n
chuyền	ch uy_T1 e2_T2 n
chuyển	ch uy_T1 e2_T4 n
chuyện	ch uy_T1 e2_T6 n
chuôm	ch ua_T1 m
chuông	ch ua_T1 ng
chuẩn	ch ua_T4 n
chuốc	ch ua_T3 k
chuốt	ch ua_T3 t
chuồng	ch ua_T2 ng
chuổi	ch uoi2_T4
chuộc	ch ua_T6 k
chuộng	ch ua_T6 ng
chuột	ch ua_T6 t
chy	ch i_T1
chà	ch a1_T2
chài	ch ai_T2
chàm	ch a1_T2 m
chàng	ch a1_T2 ng
chào	ch ao_T2
chác	ch a1_T3 k
chán	ch a1_T3 n
cháng	ch a1_T3 ng
chánh	ch a1_T3 nh
chát	ch a1_T3 t
cháu	ch au_T3
cháy	ch ay_T3
châm	ch a3_T1 m
chân	ch a3_T1 n
châu	ch au3_T1
chãi	ch ai_T5
chèo	ch eo_T2
ché	ch e1_T3
chém	ch e1_T3 m
chén	ch e1_T3 n
chéo	ch eo_T3
chép	ch e1_T3 p
chét	ch e1_T3 t
chê	ch e2_T1
chên	ch e2_T1 n
chì	ch i_T2
chìa	ch i_T2 a1_T1
chìm	ch i_T2 m
chìu	ch iu_T2
chí	ch i_T3
chích	ch i_T3 ch
chín	ch i_T3 n
chính	ch i_T3 nh
chíp	ch i_T3 p
chít	ch i_T3 t
chòi	ch oi_T2
chòm	ch o1_T2 m
chó	ch o1_T3
chóc	ch o1_T3 k
chói	ch oi_T3
chóng	ch o1_T3 ng
chóp	ch o1_T3 p
chót	ch o1_T3 t
chô	ch o2_T1
chôn	ch o2_T1 n
chông	ch o2_T1 ng
chõng	ch o1_T5 ng
chùa	ch ua_T2
chùi	ch ui_T2
chùm	ch u1_T2 m
chùng	ch u1_T2 ng
chú	ch u1_T3
chúa	ch ua_T3
chúc	ch u1_T3 k
chúng	ch u1_T3 ng
chúp	ch u1_T3 p
chút	ch u1_T3 t
chăm	ch a2_T1 m
chăn	ch a2_T1 n
chăng	ch a2_T1 ng
chĩa	ch i_T5 a1_T1
chơi	ch oi3_T1
chơn	ch o3_T1 n
chư	ch u2_T1
chưa	ch ua2_T1
chưng	ch u2_T1 ng
chương	ch ua2_T1 ng
chước	ch ua2_T3 k
chường	ch ua2_T2 ng
chưởi	ch uoi3_T4
chưởng	ch ua2_T4 ng
chạc	ch a1_T6 k
chạm	ch a1_T6 m
chạng	ch a1_T6 ng
chạp	ch a1_T6 p
chạy	ch ay_T6
chả	ch a1_T4
chải	ch ai_T4
chảo	ch ao_T4
chảy	ch ay_T4
chấm	ch a3_T3 m
chấn	ch a3_T3 n
chấp	ch a3_T3 p
chất	ch a3_T3 t
chấu	ch au3_T3
chầu	ch au3_T2
chầy	ch ay3_T2
chậm	ch a3_T6 m
chận	ch a3_T6 n
chập	ch a3_T6 p
chật	ch a3_T6 t
chậu	ch au3_T6
chắc	ch a2_T3 k
chắn	ch a2_T3 n
chắp	ch a2_T3 p
chắt	ch a2_T3 t
chằm	ch a2_T2 m
chằng	ch a2_T2 ng
chẳng	ch a2_T4 ng
chẵn	ch a2_T5 n
chặc	ch a2_T6 k
chặng	ch a2_T6 ng
chặp	ch a2_T6 p
chặt	ch a2_T6 t
chẻ	ch e1_T4
chẻo	ch eo_T4
chế	ch e2_T3
chết	ch e2_T3 t
chỉ	ch i_T4
chỉn	ch i_T4 n
chỉnh	ch i_T4 nh
chị	ch i_T6
chịu	ch iu_T6
chọc	ch o1_T6 k
chọn	ch o1_T6 n
chỏa	ch oa_T4
chỏng	ch o1_T4 ng
chốc	ch o2_T3 k
chối	ch oi2_T3
chốn	ch o2_T3 n
chống	ch o2_T3 ng
chốt	ch o2_T3 t
chồi	ch oi2_T2
chồm	ch o2_T2 m
chồn	ch o2_T2 n
chồng	ch o2_T2 ng
chổ	ch o2_T4
chổi	ch oi2_T4
chỗ	ch o2_T5
chỗi	ch oi2_T5
chớ	ch o3_T3
chớp	ch o3_T3 p
chờ	ch o3_T2
chở	ch o3_T4
chỡ	ch o3_T5
chợ	ch o3_T6
chợp	ch o3_T6 p
chợt	ch o3_T6 t
chục	ch u1_T6 k
chụm	ch u1_T6 m
chụp	ch u1_T6 p
chủ	ch u1_T4
chứ	ch u2_T3
chứa	ch ua2_T3
chức	ch u2_T3 k
chứng	ch u2_T3 ng
chừa	ch ua2_T2
chừng	ch u2_T2 ng
chửa	ch ua2_T4
chửi	ch ui2_T4
chửng	ch u2_T4 ng
chữ	ch u2_T5
chữa	ch ua2_T5
chực	ch u2_T6 k
co	k o1_T1
coa	k oa_T1
coi	k oi_T1
con	k o1_T1 n
cong	k o1_T1 ng
cu	k u1_T1
cua	k ua_T1
cum	k u1_T1 m
cun	k u1_T1 n
cung	k u1_T1 ng
cuốc	k ua_T3 k
cuối	k uoi2_T3
cuốn	k ua_T3 n
cuống	k ua_T3 ng
cuồn	k ua_T2 n
cuồng	k ua_T2 ng
cuộc	k ua_T6 k
cuộn	k ua_T6 n
cà	k a1_T2
cài	k ai_T2
càn	k a1_T2 n
càng	k a1_T2 ng
cào	k ao_T2
cày	k ay_T2
cá	k a1_T3
các	k a1_T3 k
cách	k a1_T3 ch
cácngươi	k a1_T3 k ng uoi3_T1
cái	k ai_T3
cám	k a1_T3 m
cán	k a1_T3 n
cáng	k a1_T3 ng
cánh	k a1_T3 nh
cáo	k ao_T3
cáp	k a1_T3 p
cát	k a1_T3 t
cáu	k au_T3
câm	k a3_T1 m
cân	k a3_T1 n
câu	k au3_T1
cây	k ay3_T1
cãi	k ai_T5
cò	k o1_T2
còi	k oi_T2
còn	k o1_T2 n
còng	k o1_T2 ng
có	k o1_T3
cón	k o1_T3 n
cô	k o2_T1
côi	k oi2_T1
côm	k o2_T1 m
côn	k o2_T1 n
công	k o2_T1 ng
cõi	k oi_T5
cõng	k o1_T5 ng
cù	k u1_T2
cùi	k ui_T2
cùm	k u1_T2 m
cùng	k u1_T2 ng
cú	k u1_T3
cúa	k ua_T3
cúc	k u1_T3 k
cúi	k ui_T3
cúng	k u1_T3 ng
cúp	k u1_T3 p
cút	k u1_T3 t
căm	k a2_T1 m
căn	k a2_T1 n
căng	k a2_T1 ng
cũ	k u1_T5
cũi	k ui_T5
cũng	k u1_T5 ng
cơ	k o3_T1
cơm	k o3_T1 m
cơn	k o3_T1 n
cư	k u2_T1
cưa	k ua2_T1
cưu	k uu2_T1
cương	k ua2_T1 ng
cước	k ua2_T3 k
cưới	k uoi3_T3
cướp	k ua2_T3 p
cười	k uoi3_T2
cườm	k ua2_T2 m
cường	k ua2_T2 ng
cưỡi	k uoi3_T5
cưỡng	k ua2_T5 ng
cượng	k ua2_T6 ng
cạn	k a1_T6 n
cạnh	k a1_T6 nh
cạo	k ao_T6
cạp	k a1_T6 p
cạt	k a1_T6 t
cạy	k ay_T6
cả	k a1_T4
cải	k ai_T4
cảm	k a1_T4 m
cản	k a1_T4 n
cảng	k a1_T4 ng
cảnh	k a1_T4 nh
cảo	k ao_T4
cấm	k a3_T3 m
cấp	k a3_T3 p
cất	k a3_T3 t
cấu	k au3_T3
cấy	k ay3_T3
cầm	k a3_T2 m
cần	k a3_T2 n
cầu	k au3_T2
cầy	k ay3_T2
cẩm	k a3_T4 m
cẩn	k a3_T4 n
cẩu	k au3_T4
cận	k a3_T6 n
cật	k a3_T6 t
cậu	k au3_T6
cậy	k ay3_T6
cắc	k a2_T3 k
cắm	k a2_T3 m
cắn	k a2_T3 n
cắp	k a2_T3 p
cắt	k a2_T3 t
cằn	k a2_T2 n
cẳng	k a2_T4 ng
cặm	k a2_T6 m
cặn	k a2_T6 n
cặp	k a2_T6 p
cọ	k o1_T6
cọng	k o1_T6 ng
cọt	k o1_T6 t
cỏ	k o1_T4
cỏi	k oi_T4
cố	k o2_T3
cốc	k o2_T3 k
cối	k oi2_T3
cống	k o2_T3 ng
cốp	k o2_T3 p
cốt	k o2_T3 t
cồng	k o2_T2 ng
cổ	k o2_T4
cổi	k oi2_T4
cổng	k o2_T4 ng
cỗ	k o2_T5
cỗi	k oi2_T5
cộ	k o2_T6
cộc	k o2_T6 k
cội	k oi2_T6
cộng	k o2_T6 ng
cột	k o2_T6 t
cớ	k o3_T3
cờ	k o3_T2
cởi	k oi3_T4
cỡ	k o3_T5
cỡi	k oi3_T5
cợt	k o3_T6 t
cụ	k u1_T6
cục	k u1_T6 k
cụm	k u1_T6 m
cụt	k u1_T6 t
củ	k u1_T4
của	k ua_T4
củi	k ui_T4
cứ	k u2_T3
cức	k u2_T3 k
cứng	k u2_T3 ng
cứu	k uu2_T3
cừu	k uu2_T2
cử	k u2_T4
cửa	k ua2_T4
cửi	k ui2_T4
cữ	k u2_T5
cữu	k uu2_T5
cự	k u2_T6
cực	k u2_T6 k
cựu	k uu2_T6
da	j a1_T1
dan	j a1_T1 n
dang	d1 a1_T1 ng
danh	j a1_T1 nh
dao	j ao_T1
day	j ay_T1
di	j i_T1
dim	j i_T1 m
dinh	j i_T1 nh
diêm	j ie2_T1 m
diên	j ie2_T1 n
diềm	j ie2_T2 m
diều	j ieu_T2
diễn	j ie2_T5 n
diệc	j ie2_T6 k
diện	j ie2_T6 n
diệt	j ie2_T6 t
diệu	j ieu_T6
do	j o1_T1
dong	j o1_T1 ng
du	j u1_T1
dua	j ua_T1
dun	j u1_T1 n
dung	j u1_T1 ng
duy	j uy_T1
duyên	j uy_T1 e2_T1 n
duyệt	j uy_T1 e2_T6 t
duồng	j ua_T2 ng
duỗi	j uoi2_T5
dà	d1 a1_T2
dài	j ai_T2
dàn	j a1_T2 n
dàng	d1 a1_T2 ng
dành	j a1_T2 nh
dào	j ao_T2
dày	j ay_T2
dá	j a1_T3
dám	j a1_T3 m
dáng	j a1_T3 ng
dánh	j a1_T3 nh
dáo	j ao_T3
dát	j a1_T3 t
dáy	d1 ay_T3
dâm	j a3_T1 m
dân	j a3_T1 n
dâng	j a3_T1 ng
dâu	j au3_T1
dây	j ay3_T1
dã	j a1_T5
dãy	j ay_T5
dè	j e1_T2
dép	d1 e1_T3 p
dê	j e2_T1
dìu	d1 iu_T2
dích	j i_T3 ch
dính	j i_T3 nh
díp	j i_T3 p
dít	j i_T3 t
díu	d1 iu_T3
dò	j o1_T2
dòi	j oi_T2
dòm	j o1_T2 m
dòng	j o1_T2 ng
dó	d1 o1_T3
dót	j o1_T3 t
dông	j o2_T1 ng
dõi	j oi_T5
dõng	j o1_T5 ng
dùi	j ui_T2
dùn	j u1_T2 n
dùng	j u1_T2 ng
dĩ	j i_T5
dĩa	j i_T5 a1_T1
dũ	j u1_T5
dũng	j u1_T5 ng
dơ	j o3_T1
dơi	j oi3_T1
dư	j u2_T1
dưa	j ua2_T1
dưng	j u2_T1 ng
dương	j ua2_T1 ng
dưới	j uoi3_T3
dường	j ua2_T2 ng
dưỡng	j ua2_T5 ng
dược	j ua2_T6 k
dạ	j a1_T6
dại	j ai_T6
dạn	j a1_T6 n
dạng	j a1_T6 ng
dạo	j ao_T6
dạy	j ay_T6
dảo	j ao_T4
dấm	j a3_T3 m
dấp	d1 a3_T3 p
dất	j a3_T3 t
dấu	j au3_T3
dấy	j ay3_T3
dầm	j a3_T2 m
dần	j a3_T2 n
dầu	j au3_T2
dầy	j ay3_T2
dẫn	j a3_T5 n
dẫu	j au3_T5
dẫy	j ay3_T5
dậm	j a3_T6 m
dập	j a3_T6 p
dật	j a3_T6 t
dậy	j ay3_T6
dắc	j a2_T3 k
dắt	j a2_T3 t
dằn	j a2_T2 n
dằng	d1 a2_T2 ng
dẵm	j a2_T5 m
dặm	j a2_T6 m
dặn	j a2_T6 n
dặt	d1 a2_T6 t
dẹp	d1 e1_T6 p
dẻ	j e1_T4
dẽ	j e1_T5
dế	j e2_T3
dề	d1 e2_T2
dể	j e2_T4
dễ	j e2_T5
dệt	j e2_T6 t
dị	j i_T6
dịch	j i_T6 ch
dịp	j i_T6 p
dịu	j iu_T6
dọ	j o1_T6
dọa	j oa_T6
dọc	j o1_T6 k
dọi	d1 oi_T6
dọn	j o1_T6 n
dọng	j o1_T6 ng
dỏ	d1 o1_T4
dốc	j o2_T3 k
dối	j oi2_T3
dốt	j o2_T3 t
dồ	j o2_T2
dồi	j oi2_T2
dồn	j o2_T2 n
dổ	j o2_T4
dỗ	j o2_T5
dội	j oi2_T6
dộn	j o2_T6 n
dột	j o2_T6 t
dời	j oi3_T2
dở	j o3_T4
dởn	j o3_T4 n
dỡ	j o3_T5
dỡn	j o3_T5 n
dụ	j u1_T6
dục	j u1_T6 k
dụng	j u1_T6 ng
dụt	j u1_T6 t
dủ	j u1_T4
dứa	j ua2_T3
dứt	j u2_T3 t
dừng	j u2_T2 ng
dữ	j u2_T5
dự	j u2_T6
dựa	j ua2_T6
dực	j u2_T6 k
dựng	j u2_T6 ng
dựt	j u2_T6 t
e	e1_T1
em	e2_T1 m
en	e1_T1 n
eo	eo_T1
epicuriens	e2_T2 p i_T1 k ua_T1 i_T1 e1_T1 n s
ga	g a1_T1
gai	g ai_T1
gan	g a1_T1 n
gang	g a1_T1 ng
ganh	g a1_T1 nh
gao	g ao_T1
gay	g ay_T1
ghe	g e1_T1
ghem	g e1_T1 m
ghen	g e1_T1 n
ghi	g i_T1
ghim	g i_T1 m
ghinh	g i_T1 nh
ghiếc	g ie2_T3 k
ghiền	g ie2_T2 n
ghiệt	g ie2_T6 t
ghé	g e1_T3
ghép	g e1_T3 p
ghét	g e1_T3 t
ghê	g e2_T1
ghên	g e2_T1 n
ghì	g i_T2
ghít	g i_T3 t
ghẹo	g eo_T6
ghẹt	g e1_T6 t
ghẻ	g e1_T4
ghẽ	g e1_T5
ghế	g e2_T3
ghết	g e2_T3 t
ghềnh	g e2_T2 nh
gi	j
gia	j a1_T1
giai	j ai_T1
giam	j a1_T1 m
gian	j a1_T1 n
giang	j a1_T1 ng
giao	j ao_T1
gie	j e1_T1
gieo	j eo_T1
gim	j m
giong	j o1_T1 ng
giu	j u1_T1
già	j a1_T2
giàng	j a1_T2 ng
giành	j a1_T2 nh
giàu	j au_T2
giày	j ay_T2
giá	j a1_T3
giác	j a1_T3 k
giám	j a1_T3 m
gián	j a1_T3 n
giáng	j a1_T3 ng
giáo	j ao_T3
giáp	j a1_T3 p
giát	j a1_T3 t
giâm	j a3_T1 m
giây	j ay3_T1
giã	j a1_T5
giãi	j ai_T5
giãn	j a1_T5 n
giè	j e1_T2
gièm	j e1_T2 m
gié	j e1_T3
giép	j e1_T3 p
giê	j e2_T1
giêm	j e2_T1 m
giêng	j e2_T1 ng
giò	j o1_T2
giòi	j oi_T2
giòn	j o1_T2 n
giòng	j o1_T2 ng
gió	j o1_T3
gióc	j o1_T3 k
gióng	j o1_T3 ng
gióp	j o1_T3 p
giô	j o2_T1
giôn	j o2_T1 n
giùm	j u1_T2 m
giúc	j u1_T3 k
giúp	j u1_T3 p
giút	j u1_T3 t
giăng	j a2_T1 ng
giũ	d1 u1_T5
giơ	j o3_T1
giưa	j ua2_T1
giương	j ua2_T1 ng
giường	j ua2_T2 ng
giạc	j a1_T6 k
giạt	j a1_T6 t
giả	j a1_T4
giải	j ai_T4
giảm	j a1_T4 m
giản	j a1_T4 n
giảng	j a1_T4 ng
giảo	j ao_T4
giấc	j a3_T3 k
giấm	j a3_T3 m
giấu	j au3_T3
giấy	j ay3_T3
giầy	j ay3_T2
giậm	j a3_T6 m
giận	j a3_T6 n
giập	j a3_T6 p
giậu	j au3_T6
giắc	j a2_T3 k
giắt	j a2_T3 t
giằm	j a2_T2 m
giẵm	j a2_T5 m
giặc	j a2_T6 k
giặt	j a2_T6 t
giẹo	j eo_T6
giẻ	j e1_T4
giếc	j e2_T3 k
giếm	d1 e2_T3 m
giếng	j e2_T3 ng
giết	j e2_T3 t
giềng	j e2_T2 ng
giềnh	j e2_T2 nh
giễu	j eu_T5
giệt	j e2_T6 t
giọi	j oi_T6
giọng	j o1_T6 ng
giọt	j o1_T6 t
giỏ	j o1_T4
giỏi	j oi_T4
giốc	j o2_T3 k
giống	j o2_T3 ng
giốp	j o2_T3 p
giốt	j o2_T3 t
giồi	j oi2_T2
giổ	j o2_T4
giột	j o2_T6 t
giới	j oi3_T3
giờ	j o3_T2
giở	j o3_T4
giỡn	j o3_T5 n
giục	j u1_T6 k
giữ	j u2_T5
giữa	j ua2_T5
giựt	j u2_T6 t
go	g o1_T1
gom	g o1_T1 m
gu	g u1_T1
gua	g ua_T1
guộc	g ua_T6 k
gà	g a1_T2
gài	g ai_T2
gàn	g a1_T2 n
gành	g a1_T2 nh
gào	g ao_T2
gác	g a1_T3 k
gái	g ai_T3
gán	g a1_T3 n
gánh	g a1_T3 nh
gáp	g a1_T3 p
gát	g a1_T3 t
gáy	g ay_T3
gân	g a3_T1 n
gây	g ay3_T1
gã	g a1_T5
gãi	g ai_T5
gãy	g ay_T5
gì	g i_T2
gìn	g i_T2 n
gíp	g i_T3 p
gít	g i_T3 t
gò	g o1_T2
góa	g oa_T3
góc	g o1_T3 k
gói	g oi_T3
góng	g o1_T3 ng
góp	g o1_T3 p
gót	g o1_T3 t
gô	g o2_T1
gôn	g o2_T1 n
gông	g o2_T1 ng
gõ	g o1_T5
gù	g u1_T2
gùi	g ui_T2
gúp	g u1_T3 p
gút	g u1_T3 t
găm	g a2_T1 m
gơ	g o3_T1
gươm	g ua2_T1 m
gương	g ua2_T1 ng
gượng	g ua2_T6 ng
gạc	g a1_T6 k
gạch	g a1_T6 ch
gạn	g a1_T6 n
gạo	g ao_T6
gạt	g a1_T6 t
gả	g a1_T4
gảy	g ay_T4
gấm	g a3_T3 m
gấn	g a3_T3 n
gấp	g a3_T3 p
gấu	g au3_T3
gầm	g a3_T2 m
gần	g a3_T2 n
gầy	g ay3_T2
gẫm	g a3_T5 m
gẫy	g ay3_T5
gậm	g a3_T6 m
gập	g a3_T6 p
gật	g a3_T6 t
gậy	g ay3_T6
gắm	g a2_T3 m
gắn	g a2_T3 n
gắng	g a2_T3 ng
gắp	g a2_T3 p
gắt	g a2_T3 t
gằm	g a2_T2 m
gặm	g a2_T6 m
gặp	g a2_T6 p
gặt	g a2_T6 t
gọi	g oi_T6
gọn	g o1_T6 n
gọt	g o1_T6 t
gốc	g o2_T3 k
gối	g oi2_T3
gốm	g o2_T3 m
gốp	g o2_T3 p
gồm	g o2_T2 m
gổ	g o2_T4
gỗ	g o2_T5
gội	g oi2_T6
gớm	g o3_T3 m
gờ	g o3_T2
gở	g o3_T4
gởi	g oi3_T4
gỡ	g o3_T5
gục	g u1_T6 k
gủi	g ui_T4
ha	h a1_T1
hai	h ai_T1
ham	h a1_T1 m
han	h a1_T1 n
hang	h a1_T1 ng
hanh	h a1_T1 nh
hao	h ao_T1
hay	h ay_T1
he	h e1_T1
hem	h e1_T1 m
heo	h eo_T1
hi	h i_T1
hia	h i_T1 a1_T1
him	h i_T1 m
hin	h i_T1 n
hinh	h i_T1 nh
hiu	h iu_T1
hiên	h ie2_T1 n
hiếm	h ie2_T3 m
hiến	h ie2_T3 n
hiếp	h ie2_T3 p
hiếu	h ieu_T3
hiềm	h ie2_T2 m
hiền	h ie2_T2 n
hiều	h ieu_T2
hiểm	h ie2_T4 m
hiển	h ie2_T4 n
hiểu	h ieu_T4
hiệm	h ie2_T6 m
hiện	h ie2_T6 n
hiệp	h ie2_T6 p
hiệu	h ieu_T6
ho	h o1_T1
hoa	h oa_T1
hoang	h oa_T1 ng
hoe	h oe_T1
hoi	h oi_T1
hoài	h oa_T2 i_T1
hoàn	h oa_T2 n
hoàng	h oa_T2 ng
hoành	h oa_T2 nh
hoác	h oa_T3 k
hoán	h oa_T3 n
hoát	h oa_T3 t
hoãn	h oa_T5 n
hoạch	h oa_T6 ch
hoại	h oa_T6 i_T1
hoạn	h oa_T6 n
hoạt	h oa_T6 t
hoảng	h oa_T4 ng
hoặc	h o1_T1 a2_T6 k
hu	h u1_T1
hum	h u1_T1 m
hun	h u1_T1 n
hung	h u1_T1 ng
huyết	h uy_T1 e2_T3 t
huyễn	h uy_T1 e2_T5 n
huyệt	h uy_T1 e2_T6 t
huân	h u1_T1 a3_T1 n
huê	h u1_T1 e2_T1
huơ	h u1_T1 o3_T1
huấn	h ua_T3 n
huệ	h u1_T1 e2_T6
huống	h ua_T3 ng
huởn	h u1_T1 o3_T4 n
huỡn	h u1_T1 o3_T5 n
huỳnh	h uy_T2 nh
hy	h i_T1
hà	h a1_T2
hài	h ai_T2
hàm	h a1_T2 m
hàn	h a1_T2 n
hàng	h a1_T2 ng
hành	h a1_T2 nh
hào	h ao_T2
há	h a1_T3
hác	h a1_T3 k
hách	h a1_T3 ch
hái	h ai_T3
hám	h a1_T3 m
hán	h a1_T3 n
háng	h a1_T3 ng
háp	h a1_T3 p
hát	h a1_T3 t
hâm	h a3_T1 m
hân	h a3_T1 n
hãi	h ai_T5
hãm	h a1_T5 m
hãnh	h a1_T5 nh
hãy	h ay_T5
hè	h e1_T2
hèn	h e1_T2 n
héo	h eo_T3
hép	h e1_T3 p
hét	h e1_T3 t
hê	h e2_T1
hên	h e2_T1 n
hình	h i_T2 nh
hí	h i_T3
hít	h i_T3 t
hò	h o1_T2
hòa	h oa_T2
hòe	h oe_T2
hòi	h oi_T2
hòm	h o1_T2 m
