a	a1_T1
avyld	a1_T1 j i_T1 l d2 e2_T1
awu	a1_T1 u1_T1
ào	ao_T1
ác	a2_T3
ái	ai_T1
ám	a1_T1 m
án	a1_T1 n
áng	a1_T1 ng
ánh	a1_T1 nh
áp	ay3_T1 p i_T1
ảnh	a1_T1 nh
ảo	ao_T1
ba	b a1_T1
babar	b ay3_T1 b a1_T1
bac	b ay3_T1 k
bai	b ai_T1
bailey	b ai_T1 l e1_T3 i_T1
bakdounes	b ay3_T1 k d2 u1_T1 n e1_T1 s
baloch	b a1_T1 l o1_T1 ch
ban	b a1_T1 n
banaby	b a1_T1 n ay3_T1 b i_T1
bandt	b a1_T1 n d2 t
bang	b a1_T1 ng
bank	b a1_T1 n k
banks	b a1_T1 n k s
bao	b ao_T1
baridner	b a1_T1 oi_T1 n o3_T2
barnaby	b a1_T1 n ay3_T1 b i_T1
barr	b a1_T1 r r
bashir	b a1_T1 x i_T1 r
batley	b a1_T1 t l e1_T3 i_T1
batleymột	b a1_T1 t l e1_T3 i_T1 m o2_T1 t
baudinette	b au_T1 d1 i_T1 n e1_T1 t ai_T1
bay	b ay_T1
bài	b ai_T1
bàn	b a1_T1 n
bàng	b a1_T1 ng
bào	b ao_T1
bày	b ay_T1
bác	b ay3_T1 k
bán	b a1_T1 n
báo	b ao_T1
bản	b a1_T1 n
bảo	b ao_T1
bảy	b ay_T1
bạc	b ay3_T1 k
bạch	b ay3_T1 ch
bại	b ai_T1
bạn	b a1_T1 n
bạo	b ao_T1
bbc	b i_T1 b i_T1 k
bch	b ch
be	b e1_T1
bega	b e2_T1 g a1_T1
benjamin	b e1_T1 n d1 a1_T1 m i_T1 n
benny	b e1_T1 n n i_T1
benyamin	b e1_T1 n i_T1 a1_T1 m i_T1 n
bernoth	b e1_T1 d1 n o2_T1 th
better	b e1_T1 t t e1_T1 r
bhavesh	b a1_T1 j e1_T3 t
bi	b i_T1
bia	b i_T1 a1_T1
bibbys	b i_T1 b i_T1 b i_T1 i_T1 s
biet	b i_T1 e1_T3 t
bigg	b i_T1 d1 i_T1 j i_T1
bill	b i_T1 n
binh	b i_T1 nh
biên	b ie2_T1 n
biến	b ie2_T1 n
biết	b ie2_T1 t
biển	b ie2_T1 n
biểu	b ieu_T1
biện	b ie2_T1 n
biệt	b ie2_T1 t
bình	b i_T1 nh
biến	b ie2_T3 n
biết	b ie2_T3 t
biển	b ie2_T4 n
biểu	b ieu_T4
biện	b ie2_T6 n
biệt	b ie2_T6 t
biệtmueller	b ie2_T6 t m o2_T1 eo_T1 o3_T2
blackburn	b l a2_T3 k b oa_T1 n
blasio	b l a1_T3 x i_T1 o2_T1
blaxland	b l a1_T1 x l a1_T1 n d2 e2_T1
bo	b o1_T1
bob	b o1_T1 b
bokhari	b o1_T1 kh a1_T1 r i_T1
bolero	b o2_T1 e2_T1 d1 o2_T1
bom	b o1_T1 m
bonnyrigg	b o1_T1 n i_T1 r i_T1 j i_T1 d1 i_T1
book	b o1_T1 o1_T1 k
booy	b o1_T1 o1_T1 i_T1
born	b o1_T1 r n
bougainville	b o1_T1 u1_T1 g ai_T1 n v i_T1 l l e1_T1
bougaville	b o1_T1 u1_T1 g a1_T1 j i_T1 l l e1_T1
bowen	b au3_T1 e1_T1 n
bón	b o1_T1 n
bóng	b o1_T1 ng
bọn	b o1_T1 n
bp	b p
bracken	b r a2_T3 k e1_T1 n
bradbury	b r a1_T1 b oa_T1 i_T1
bradley	b r a1_T1 l e1_T3 i_T1
brazil	b d1 a1_T1 d1
brecko	b o2_T1 k k o2_T1
brendan	b o2_T1 n d2 a1_T1 n
brett	b o2_T1 t t
bri	b r i_T1
briceño	b d1 i_T1 k eo_T1
brien	b r i_T3 e1_T1 n
brimbank	b r i_T1 m b a1_T1 n k
brisbane	b r i_T3 x b a1_T1 n e1_T1
brittain	b r i_T3 t t a1_T1 i_T1 n
broad	b r oa_T1 d1
broadmeadows	b o1_T1 a1_T1 m a1_T1 au3_T1 s
brown	b r o1_T1 n
bruce	b r u1_T1 k e1_T1
bruun	b r u1_T1 u1_T1 n
brynhill	b r i_T1 nh i_T1 n
bs	b s
bts	b t s
bu	b u1_T1
buffet	b u1_T1 o1_T3 ph e1_T1 t
burke	b ua_T1 k e1_T1
burnham	b oa_T1 nh a1_T1 m
bus	b u1_T3
business	b u1_T3 i_T1 n e1_T3 s
bussy	b u1_T3 x i_T1
buôn	b ua_T1 n
buồn	b ua_T1 n
buối	b uoi2_T1
buổi	b uoi2_T1
buộc	b ua_T1 k
buồn	b ua_T2 n
buổi	b uoi2_T4
buộc	b ua_T6 k
bà	b a1_T2
bài	b ai_T2
bàn	b a1_T2 n
bào	b ao_T2
bày	b ay_T2
bá	b a1_T3
bác	b a1_T3 k
bách	b a1_T3 ch
bám	b a1_T3 m
bán	b a1_T3 n
bánh	b a1_T3 nh
báo	b ao_T3
bát	b a1_T3 t
bât	b a3_T1 t
bây	b ay3_T1
bầu	b au3_T1
bấm	b a3_T1 m
bất	b a3_T1 t
bậc	b a3_T1 k
bật	b a3_T1 t
bã	b a1_T5
bão	b ao_T5
bè	b e1_T2
bèn	b e1_T2 n
bé	b e1_T3
bén	b e1_T3 n
bê	b e2_T1
bên	b e2_T1 n
bênh	b e2_T1 nh
bền	b e2_T1 n
bếp	b e2_T1 p
bệnh	b e2_T1 nh
bình	b i_T2 nh
bí	b i_T3
bít	b i_T3 t
bò	b o1_T2
bó	b o1_T3
bóng	b o1_T3 ng
bóp	b o1_T3 p
bô	b o2_T1
bôi	b oi2_T1
bông	b o2_T1 ng
bồn	b o2_T1 n
bối	b oi2_T1
bỗng	b o2_T1 ng
bộnh	b o2_T1 nh
bù	b u1_T2
bùa	b ua_T2
bùi	b ui_T2
bùng	b u1_T2 ng
búc	b u1_T3 k
búi	b ui_T3
bút	b u1_T3 t
băng	b a2_T1 ng
bằng	b a2_T1 ng
bắc	b a2_T1 k
bắn	b a2_T1 n
bắt	b a2_T1 t
bơ	b o3_T1
bơi	b oi3_T1
bơm	b o3_T1 m
bới	b oi3_T1
bớt	b o3_T1 t
bởi	b oi3_T1
bưu	b uu2_T1
bước	b ua2_T1 k
bướm	b ua2_T1 m
bức	b k
bước	b ua2_T3 k
bạc	b a1_T6 k
bạch	b a1_T6 ch
bại	b ai_T6
bạn	b a1_T6 n
bạo	b ao_T6
bạt	b a1_T6 t
bản	b a1_T4 n
bảng	b a1_T4 ng
bảo	b ao_T4
bảy	b ay_T4
bấp	b a3_T3 p
bất	b a3_T3 t
bần	b a3_T2 n
bầu	b au3_T2
bẩn	b a3_T4 n
bẩy	b ay3_T4
bậc	b a3_T6 k
bận	b a3_T6 n
bật	b a3_T6 t
bắc	b a2_T3 k
bắn	b a2_T3 n
bắt	b a2_T3 t
bằng	b a2_T2 ng
bẽn	b e1_T5 n
bết	b e2_T3 t
bệ	b e2_T6
bệnh	b e2_T6 nh
bỉm	b i_T4 m
bỉu	b iu_T4
bị	b i_T6
bịa	b i_T6 a1_T1
bịnh	b i_T6 nh
bịt	b i_T6 t
bọc	b o1_T6 k
bọn	b o1_T6 n
bỏ	b o1_T4
bỏng	b o1_T4 ng
bố	b o2_T3
bốc	b o2_T3 k
bối	b oi2_T3
bốn	b o2_T3 n
bổ	b o2_T4
bổn	b o2_T4 n
bổng	b o2_T4 ng
bộ	b o2_T6
bột	b o2_T6 t
bớt	b o3_T3 t
bờ	b o3_T2
bờm	b o3_T2 m
bởi	b oi3_T4
bục	b u1_T6 k
bức	b u2_T3 k
bữa	b ua2_T5
c	k
ca	k a1_T1
cacao	k a1_T1 k ao_T1
cai	k ai_T1
cairns	k ai_T1 d1 n s
cairo	k ai_T1 d1 o2_T1
cam	k a1_T1 m
cambridge	k a1_T1 m b r oi_T1 g e1_T1
camera	k a1_T1 m e1_T1 d1 a1_T1
campbell	k a1_T1 m p b e1_T1 n
campuchia	k a1_T1 m p u1_T1 ch i_T1 a1_T1
can	k a1_T1 n
canada	k a1_T1 n a1_T1 j a1_T1
canberra	k a1_T1 n b o3_T1 d1 a1_T1
canh	k a1_T1 nh
cao	k ao_T1
care	k a1_T3 e1_T1
carlton	k a1_T3 l t o1_T1 n
cartel	k a1_T3 t eo_T1
casey	k a1_T1 x e1_T3 i_T1
cassidy	k a1_T1 x x oi_T1 i_T1
castan	k a1_T1 s t a1_T1 n
cateano	k e2_T3 t a1_T1 n o2_T1
catherine	k a1_T1 t th e1_T1 i_T1 n e1_T1
cayman	k ay_T1 m a1_T1 n
càng	k a1_T1 ng
cành	k a1_T1 nh
các	k a1_T1 k
cách	k a1_T1 ch
cái	k ai_T1
cáng	k a1_T1 ng
cáo	k ao_T1
cãi	k ai_T1
cải	k ai_T1
cảm	k a1_T1 m
cản	k a1_T1 n
cảnh	k a1_T1 nh
cạnh	k a1_T1 nh
ch	ch
cha	ch a1_T1
challenge	ch a1_T1 l l e1_T1 ng e1_T1
champions	ch a1_T1 m p i_T1 o1_T1 n s
chapter	ch a1_T1 p t e1_T1 r
charles	ch a1_T1 r l e1_T3 s
charlie	ch a1_T1 r l i_T3 e1_T1
chaudhary	ch au_T1 d1 h a1_T1 r i_T1
chánh	ch a1_T1 nh
cháu	ch au_T1
cháy	ch ay_T1
chạp	ch a1_T3 p
chạy	ch ay_T1
che	ch e1_T1
chechnya	ch e1_T1 ch n i_T1 a1_T1
cheers	ch e1_T1 o3_T1 s
chelsea	ch e1_T1 l x e1_T3 a1_T1
chen	ch e1_T1 n
cheng	ch e1_T1 ng
chi	ch i_T1
chia	ch i_T1 a1_T1
chieu	ch i_T1 e2_T1 u1_T1
childcare	ch i_T1 d2 k a1_T3 e1_T1
children	ch i_T1 d2 r e1_T1 n
chim	ch i_T1 m
chiêu	ch ieu_T1
chiều	ch ieu_T1
chiếc	ch ie2_T1 k
chiếm	ch ie2_T1 m
chiến	ch ie2_T1 n
chìm	ch i_T1 m
chính	ch i_T1 nh
chỉnh	ch i_T1 nh
chịnh	ch i_T1 nh
chịu	ch iu_T1
chiếc	ch ie2_T3 k
chiếm	ch ie2_T3 m
chiến	ch ie2_T3 n
chiếu	ch ieu_T3
chiều	ch ieu_T2
cho	ch o1_T1
chocochips	ch o2_T1 k o2_T1 ch i_T1 p s
choáng	ch oa_T3 ng
chóng	ch o1_T1 ng
chót	ch o1_T1 t
chọn	ch o1_T1 n
chris	ch r i_T3 s
christchurch	ch r i_T3 s t ch ua_T1 ch
christina	ch r i_T3 s t i_T1 n a1_T1
christine	ch r i_T3 s t i_T1 n e1_T1
christmas	ch r i_T3 s t m a1_T3 s
chu	ch u1_T1
chung	ch u1_T1 ng
church	ch oa_T1 ch
chuyên	ch uy_T1 e2_T1 n
chuyến	ch uy_T1 e2_T1 n
chuyển	ch uy_T1 e2_T1 n
chuyện	ch uy_T1 e2_T1 n
chuyến	ch uy_T1 e2_T3 n
chuyền	ch uy_T1 e2_T2 n
chuyển	ch uy_T1 e2_T4 n
chuyện	ch uy_T1 e2_T6 n
chuẩn	ch u1_T1 a3_T1 n
chuông	ch ua_T1 ng
chuộng	ch ua_T1 ng
chuột	ch uoi2_T1 t
chúa	ch ua_T1
chúng	ch u1_T1 ng
chút	ch u1_T1 t
chủng	ch u1_T1 ng
chục	ch u1_T1 k
chuẩn	ch ua_T4 n
chuộc	ch ua_T6 k
chuộng	ch ua_T6 ng
chuột	ch ua_T6 t
chàng	ch a1_T2 ng
chào	ch ao_T2
chán	ch a1_T3 n
chánh	ch a1_T3 nh
cháu	ch au_T3
cháy	ch ay_T3
châm	ch a3_T1 m
chân	ch a3_T1 n
chât	ch a3_T1 t
châu	ch au3_T1
chấm	ch a3_T1 m
chấn	ch a3_T1 n
chấp	ch a3_T1 p
chất	ch a3_T1 t
chậm	ch a3_T1 m
chận	ch a3_T1 n
chén	ch e1_T3 n
chép	ch e1_T3 p
chê	ch e2_T1
chêm	ch e2_T1 m
chênh	ch e2_T1 nh
chết	ch e2_T1 t
chìa	ch i_T2 a1_T1
chìm	ch i_T2 m
chí	ch i_T3
chích	ch i_T3 ch
chín	ch i_T3 n
chính	ch i_T3 nh
chó	ch o1_T3
chóc	ch o1_T3 k
chóng	ch o1_T3 ng
chóp	ch o1_T3 p
chót	ch o1_T3 t
chô	ch o2_T1
chôn	ch o2_T1 n
chông	ch o2_T1 ng
chồi	ch oi2_T1
chồn	ch o2_T1 n
chối	ch oi2_T1
chống	ch o2_T1 ng
chốt	ch o2_T1 t
chùa	ch ua_T2
chú	ch u1_T3
chúa	ch ua_T3
chúc	ch u1_T3 k
chúng	ch u1_T3 ng
chút	ch u1_T3 t
chăm	ch a2_T1 m
chăn	ch a2_T1 n
chăng	ch a2_T1 ng
chắc	ch a2_T1 k
chắn	ch a2_T1 n
chẳng	ch a2_T1 ng
chặn	ch a2_T1 n
chặt	ch a2_T1 t
chơ	ch o3_T1
chơi	ch oi3_T1
chơn	ch o3_T1 n
chư	ch u2_T1
chưa	ch ua2_T1
chưng	ch u2_T1 ng
chương	ch ua2_T1 ng
chứa	ch ua2_T1
chức	ch u2_T1 k
chứng	ch u2_T1 ng
chữa	ch ua2_T1
chạm	ch a1_T6 m
chạp	ch a1_T6 p
chạy	ch ay_T6
chả	ch a1_T4
chảy	ch ay_T4
chấm	ch a3_T3 m
chấn	ch a3_T3 n
chấp	ch a3_T3 p
chất	ch a3_T3 t
chẩn	ch a3_T4 n
chậm	ch a3_T6 m
chật	ch a3_T6 t
chắc	ch a2_T3 k
chắn	ch a2_T3 n
chẳng	ch a2_T4 ng
chặn	ch a2_T6 n
chặt	ch a2_T6 t
chẽ	ch e1_T5
chế	ch e2_T3
chết	ch e2_T3 t
chỉ	ch i_T4
chỉn	ch i_T4 n
chỉnh	ch i_T4 nh
chị	ch i_T6
chịu	ch iu_T6
chọi	ch oi_T6
chọn	ch o1_T6 n
chối	ch oi2_T3
chống	ch o2_T3 ng
chốt	ch o2_T3 t
chồng	ch o2_T2 ng
chổ	ch o2_T4
chỗ	ch o2_T5
chờ	ch o3_T2
chở	ch o3_T4
chợ	ch o3_T6
chợt	ch o3_T6 t
chục	ch u1_T6 k
chụp	ch u1_T6 p
chủ	ch u1_T4
chủng	ch u1_T4 ng
chứ	ch u2_T3
chứa	ch ua2_T3
chức	ch u2_T3 k
chứng	ch u2_T3 ng
chừa	ch ua2_T2
chừng	ch u2_T2 ng
chữ	ch u2_T5
chữa	ch ua2_T5
chực	ch u2_T6 k
chựng	ch u2_T6 ng
cibubur	k i_T1 b u1_T1 b oa_T1
cinamon	k n a1_T1 m o1_T1 n
cities	k i_T1 t i_T1 e1_T3
cl	k l
clarke	k l a1_T3 k e1_T1
clement	k l e1_T1 m e1_T1 n t
clinton	k l i_T1 n t o2_T1 ng
clip	k l i_T1 p
clubb	k l u1_T1 b b i_T1
cncs	k n s
co	k o1_T1
coast	k o1_T1 a1_T3 x t
cohen	k o1_T1 e1_T1 n
coi	k oi_T1
coleman	k o2_T1 l e1_T3 m a1_T1 n
colombia	k o2_T1 l o2_T1 m b i_T1 a1_T1
colombo	k o2_T1 l o2_T1 m k b o1_T1
columbia	k o1_T1 l u1_T1 m b i_T1 a1_T1
com	k o1_T1 m
communication	k o1_T1 m m u1_T1 n i_T1 k a1_T1 t i_T1 o1_T1 n
communities	k o1_T1 m m u1_T1 n i_T1 t i_T1 e1_T3
community	k o1_T1 m m u1_T1 n i_T1 t i_T1
compost	k o1_T1 m p o1_T1 s t
con	k o1_T1 n
condrad	k o1_T1 n j r a1_T1
conduct	k o1_T1 n j u1_T1 k t
connor	k o1_T1 n o2_T1 r
conrad	k o1_T1 r a1_T1
conway	k o1_T1 o1_T1 ay_T1
cook	k o1_T1 o1_T1 k
cooper	k o1_T1 o1_T1 p e1_T1 r
coral	k o1_T1 d1 a1_T1 n
corbyn	k o1_T1 r b i_T1 n
cormack	k o1_T1 d1 m a2_T3 k
coroner	k o1_T1 r o1_T1 n e1_T1 r
cosgrove	k o1_T1 x g o1_T1 n e1_T1
council	k o1_T1 u1_T1 n
cowan	k au3_T1 a1_T1 n
còn	k o1_T1 n
craig	k r a1_T1 i_T1 d1 i_T1
crimea	k r i_T3 m a1_T1
crowdspot	k r au3_T1 d1 x p o1_T1 t
crown	k r o1_T1 n
cruel	k r u1_T1 eo_T1
csis	k s i_T1 s
cu	k u1_T1
cua	k ua_T1
cuba	k u1_T1 b a1_T1
cugn	k u1_T1 g n
cull	k u1_T1 n
cung	k u1_T1 ng
curtis	k u1_T1 a1_T1 i_T3 s
cuồng	k ua_T1 ng
cuối	k uoi2_T1
cuốn	k ua_T1 n
cuống	k ua_T1 ng
cuộc	k ua_T1 k
cùng	k u1_T1 ng
cúc	k u1_T1 k
cũng	k u1_T1 ng
của	k ua_T1
củng	k u1_T1 ng
cuốc	k ua_T3 k
cuối	k uoi2_T3
cuốn	k ua_T3 n
cuộc	k ua_T6 k
cà	k a1_T2
càng	k a1_T2 ng
cào	k ao_T2
cá	k a1_T3
các	k a1_T3 k
cách	k a1_T3 ch
cái	k ai_T3
cán	k a1_T3 n
cánh	k a1_T3 nh
cáo	k ao_T3
cân	k a3_T1 n
câu	k au3_T1
cây	k ay3_T1
cầm	k a3_T1 m
cần	k a3_T1 n
cầu	k au3_T1
cấm	k a3_T1 m
cấp	k a3_T1 p
cất	k a3_T1 t
cận	k a3_T1 n
cập	k a3_T1 p
cậy	k ay3_T1
cãi	k ai_T5
còn	k o1_T2 n
có	k o1_T3
cóc	k o1_T3 k
cô	k o2_T1
côi	k oi2_T1
công	k o2_T1 ng
côngo	k o2_T1 n g o1_T1
cối	k oi2_T1
cộng	k o2_T1 ng
cùng	k u1_T2 ng
cú	k u1_T3
cúc	k u1_T3 k
cúm	k u1_T3 m
cúng	k u1_T3 ng
căn	k a2_T1 n
căng	k a2_T1 ng
cắm	k a2_T1 m
cắt	k a2_T1 t
cặn	k a2_T1 n
cđnvtd	k d2 n v t e2_T1 d2 e2_T1
cũ	k u1_T5
cũng	k u1_T5 ng
cơ	k o3_T1
cơn	k o3_T1 n
cư	k u2_T1
cương	k ua2_T1 ng
cường	k ua2_T1 ng
cứu	k uu2_T1
cửa	k ua2_T1
cực	k u2_T1 k
cựu	k uu2_T1
cước	k ua2_T3 k
cưới	k uoi3_T3
cướp	k ua2_T3 p
cười	k uoi3_T2
cường	k ua2_T2 ng
cưỡng	k ua2_T5 ng
cạn	k a1_T6 n
cạnh	k a1_T6 nh
cả	k a1_T4
cải	k ai_T4
cảm	k a1_T4 m
cản	k a1_T4 n
cảnh	k a1_T4 nh
cấm	k a3_T3 m
cấp	k a3_T3 p
cất	k a3_T3 t
cấu	k au3_T3
cầm	k a3_T2 m
cần	k a3_T2 n
cầu	k au3_T2
cẩn	k a3_T4 n
cận	k a3_T6 n
cập	k a3_T6 p
cật	k a3_T6 t
cậu	k au3_T6
cắ	k a2_T3
cắp	k a2_T3 p
cắt	k a2_T3 t
cặn	k a2_T6 n
cặp	k a2_T6 p
cố	k o2_T3
cống	k o2_T3 ng
cốt	k o2_T3 t
cổ	k o2_T4
cổng	k o2_T4 ng
cộng	k o2_T6 ng
cờ	k o3_T2
cởi	k oi3_T4
cỡ	k o3_T5
cụ	k u1_T6
cục	k u1_T6 k
cụm	k u1_T6 m
cụt	k u1_T6 t
củ	k u1_T4
của	k ua_T4
củng	k u1_T4 ng
cứ	k u2_T3
cứng	k u2_T3 ng
cứu	k uu2_T3
cử	k u2_T4
cửa	k ua2_T4
cửu	k uu2_T4
cự	k u2_T6
cực	k u2_T6 k
cựu	k uu2_T6
d	d1
da	j a1_T1
damascus	j a1_T1 m a1_T3 x k u1_T1 s
dame	j e2_T1 m
danh	j a1_T1 nh
daniel	j a1_T1 n i_T1 eo_T1
darfur	j a1_T1 r ph oa_T1
darling	j a1_T1 r l i_T1 ng
darren	j a1_T1 r r e1_T1 n
david	j a1_T1 j oi_T1
day	j ay_T1
dài	j ai_T1
dàn	j a1_T1 n
dàng	d1 a1_T1 ng
dành	j a1_T1 nh
dào	j ao_T1
dám	j a1_T1 m
dán	j a1_T1 n
dáng	d1 a1_T1 ng
dạy	j ay_T1
de	j e1_T1
democrats	j e1_T1 m o1_T1 k r a1_T1 t s
demosthenes	j e1_T1 m o1_T1 x th e1_T1 n e1_T1 s
denise	j e1_T1 n i_T1 s e1_T1
des	j e1_T1 s
design	j e1_T1 s i_T1 j i_T1 n
dev	j e1_T1 v
dẹp	j e2_T2 p
di	j i_T1
dialogue	j i_T1 a1_T1 l o1_T1 g o2_T1
dignity	j i_T1 j i_T1 n i_T1 t i_T1
dillon	j i_T1 l l o1_T1 n
dinh	j i_T1 nh
diếm	j ie2_T1 m
diễn	j ie2_T1 n
diện	j ie2_T1 n
diệt	j ie2_T1 t
dính	j i_T1 nh
dịch	j i_T1 ch
dịp	j i_T1 p
diễn	j ie2_T5 n
diện	j ie2_T6 n
diệp	j ie2_T6 p
diệt	j ie2_T6 t
do	j o1_T1
doa	j oa_T1
doanh	j oa_T1 nh
dolad	d2 o2_T1 l e2_T3 d2 e2_T1
dominik	j o1_T1 m i_T1 n i_T1 k
don	j o1_T1 n
donald	j o1_T1 n a1_T1 l d1
doukas	d2 o2_T1 u1_T1 k a1_T3 x
dowling	j o1_T1 l i_T1 ng
dòng	j o1_T1 ng
dõi	j oi_T1
dọa	j oa_T1
dr	j t o3_T1
du	j u1_T1
dual	j ua_T1 n
duigan	j ui_T1 g a1_T1 n
dujarric	j u1_T1 d1 a1_T1 r r i_T1 k
duncan	j u1_T1 n k a1_T1 n
dung	j u1_T1 ng
dunlop	j u1_T1 n l o2_T1 p
duterte	j u1_T1 t o3_T1 t e1_T1
duy	j uy_T1
duyen	j uy_T1 e1_T1 n
duyệt	j uy_T1 e2_T1 t
duyệt	j uy_T1 e2_T6 t
dùi	j ui_T1
dùng	j u1_T1 ng
dũng	j u1_T1 ng
dục	j u1_T1 k
dụng	j u1_T1 ng
dvd	j v d1
dyer	j i_T1 o3_T2
dài	j ai_T2
dàira	j ai_T2 d1 a1_T1
dàng	d1 a1_T2 ng
dành	j a1_T2 nh
dày	j ay_T2
dám	j a1_T3 m
dán	j a1_T3 n
dáng	j a1_T3 ng
dâm	j a3_T1 m
dân	j a3_T1 n
dâng	j a3_T1 ng
dântrong	j a3_T1 n tr o1_T1 ng
dây	j ay3_T1
dầu	j au3_T1
dấu	j au3_T1
dẫn	j a3_T1 n
dã	j a1_T5
dãy	j ay_T5
dè	j e1_T2
dép	d1 e1_T3 p
dê	j e2_T1
dìu	d1 iu_T2
dính	j i_T3 nh
díu	d1 iu_T3
dò	j o1_T2
dòng	j o1_T2 ng
dồi	j oi2_T1
dốc	j o2_T1 k
dối	j oi2_T1
dõi	j oi_T5
dù	j u1_T2
dùng	j u1_T2 ng
dắt	d2 t
dĩ	j i_T5
dũng	j u1_T5 ng
dời	j oi3_T1
dư	j u2_T1
dưng	j u2_T1 ng
dương	j ua2_T1 ng
dường	j ua2_T1 ng
dưới	j uoi3_T1
dưỡng	j ua2_T1 ng
dứa	j ua2_T1
dứt	j u2_T1 t
dựa	j ua2_T1
dựng	j u2_T1 ng
dưới	j uoi3_T3
dường	j ua2_T2 ng
dưỡng	j ua2_T5 ng
dạn	j a1_T6 n
dạng	j a1_T6 ng
dạy	j ay_T6
dả	d1 a1_T4
dảng	j a1_T4 ng
dấn	j a3_T3 n
dấu	j au3_T3
dấy	j ay3_T3
dần	j a3_T2 n
dầu	j au3_T2
dẩn	d1 a3_T4 n
dẫn	j a3_T5 n
dậm	j a3_T6 m
dập	j a3_T6 p
dậy	j ay3_T6
dắt	j a2_T3 t
dằn	j a2_T2 n
dặn	j a2_T6 n
